id,name,parent,detail,group.category.id,group.category.name,group.family.id,group.family.name,group.chemical.id,group.chemical.name,isActive,order,level
10000,Products,//,,,,,,,,1,0,1
10001,Medical Drugs,//Products,,01,Medical Drugs,,,,,1,0,2
10002,Technical and Occupational Products,//Products,,02,Technical and Occupational Products,,,,,1,0,2
10003,Recreational and Abused Agents,//Products,,03,Recreational and Abused Agents,,,,,1,0,2
10004,Plant Toxins / Poisonous Plants,//Products,,04,Plant Toxins / Poisonous Plants,,,,,1,0,2
10005,Poisonous and Venomous Animals,//Products,,05,Poisonous and Venomous Animals,,,,,1,0,2
10006,Food Toxins and Contaminations,//Products,,06,Food Toxins and Contaminations,,,,,1,0,2
10007,Household Products,//Products,,07,Household Products,,,,,1,0,2
10008,Pesticides,//Products,,08,Pesticides,,,,,1,0,2
10009,Disease / Signs-Symptoms / Health,//Products,,09,Disease / Signs-Symptoms / Health,,,,,1,0,2
10010,Lab Monitoring,//Products,,10,Lab Monitoring,,,,,1,0,2
10011,Database / Service,//Products,,11,Database / Service,,,,,1,0,2
10012,Health Food / Cosmetics,//Products,,12,Health Food / Cosmetics,,,,,1,0,2
10013,Fire Hazard,//Products,,13,Fire Hazard,,,,,1,0,2
10014,Food Additives and Preservatives,//Products,,14,Food Additives and Preservatives,,,,,1,0,2
10015,Herbal and Traditional Medicine,//Products,,15,Herbal and Traditional Medicine,,,,,1,0,2
10016,Chemical Weapons,//Products,,16,Chemical Weapons,,,,,1,0,2
10017,Methemoglobinemia,//Products,,17,Methemoglobinemia,,,,,1,0,2
10018,Unknown Toxic Substance,//Products,,18,Unknown Toxic Substance,,,,,1,0,2
10019,Other Category,//Products,,19,Other Category,,,,,1,0,2
11085,N/A,//Products,,99,N/A,99,N/A,9999,,0,0,2
10020,Alimentary System,//Products//Medical Drugs,gastrointestinal and hepatobiliary system,01,Medical Drugs,01,Alimentary System,,,1,0,3
10021,Cardiovascular and Hematopoietic System,//Products//Medical Drugs,,01,Medical Drugs,02,Cardiovascular and Hematopoietic System,,,1,0,3
10022,Respiratory System,//Products//Medical Drugs,,01,Medical Drugs,03,Respiratory System,,,1,0,3
10023,Neuro-Muscular System,//Products//Medical Drugs,,01,Medical Drugs,04,Neuro-Muscular System,,,1,0,3
10024,Hormones,//Products//Medical Drugs,,01,Medical Drugs,05,Hormones,,,1,0,3
10025,Contraceptive agents,//Products//Medical Drugs,,01,Medical Drugs,06,Contraceptive agents,,,1,0,3
10026,Antibiotics,//Products//Medical Drugs,,01,Medical Drugs,07,Antibiotics,,,1,0,3
10027,Other Chemotherapeutics,//Products//Medical Drugs,,01,Medical Drugs,08,Other Chemotherapeutics,,,1,0,3
10028,Genito-Urinary System,//Products//Medical Drugs,,01,Medical Drugs,09,Genito-Urinary System,,,1,0,3
10029,Metabolism,//Products//Medical Drugs,,01,Medical Drugs,10,Metabolism,,,1,0,3
10030,Vitamins and Minerals,//Products//Medical Drugs,,01,Medical Drugs,11,Vitamins and Minerals,,,1,0,3
10031,Nutrition,//Products//Medical Drugs,,01,Medical Drugs,12,Nutrition,,,1,0,3
10032,"Eye, Ear, Mouth and Throat",//Products//Medical Drugs,,01,Medical Drugs,13,"Eye, Ear, Mouth and Throat",,,1,0,3
10033,Dermatologicals,//Products//Medical Drugs,,01,Medical Drugs,14,Dermatologicals,,,1,0,3
10034,Anaesthetics Local and General,//Products//Medical Drugs,,01,Medical Drugs,15,Anaesthetics Local and General,,,1,0,3
10035,Diagnostic Agents,//Products//Medical Drugs,,01,Medical Drugs,16,Diagnostic Agents,,,1,0,3
10036,Allergy and Immune System,//Products//Medical Drugs,,01,Medical Drugs,17,Allergy and Immune System,,,1,0,3
10037,"Antidotes, Detoxifying Agents",//Products//Medical Drugs,,01,Medical Drugs,18,"Antidotes, Detoxifying Agents",,,1,0,3
10038,Intravenous and Other Steriles Solutions,//Products//Medical Drugs,,01,Medical Drugs,19,Intravenous and Other Steriles Solutions,,,1,0,3
10039,Miscellaneous,//Products//Medical Drugs,,01,Medical Drugs,20,Miscellaneous,,,1,0,3
10040,Unknown,//Products//Medical Drugs,,01,Medical Drugs,21,Unknown,,,1,0,3
10041,Others,//Products//Medical Drugs,,01,Medical Drugs,22,Others,,,1,0,3
10042,Adhesive agent,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,01,Adhesive agent,,,1,0,3
10043,Astringent,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,02,Astringent,,,1,0,3
10044,Automotive products,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,03,Automotive products,,,1,0,3
10045,Battery dry cell,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,04,Battery dry cell,,,1,0,3
10046,Bleaching agent,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,05,Bleaching agent,,,1,0,3
10047,Caulking compound,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,06,Caulking compound,,,1,0,3
10048,Cleaning agent for air conditioner,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,07,Cleaning agent for air conditioner,,,1,0,3
10049,Cleaning agent for floor,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,08,Cleaning agent for floor,,,1,0,3
10050,Cleaning agent for Multipurpose,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,09,Cleaning agent for Multipurpose,,,1,0,3
10051,Concrete:  Curing membrane,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,10,Concrete:  Curing membrane,,,1,0,3
10052,Antiseptic&Disinfectants,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,11,Antiseptic&Disinfectants,,,1,0,3
10053,Dispersant,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,12,Dispersant,,,1,0,3
10054,Dye,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,13,Dye,,,1,0,3
10055,Fire extinguisher,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,14,Fire extinguisher,,,1,0,3
10056,Fuel,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,15,Fuel,,,1,0,3
10057,Gilt solution (ชุบทอง),//Products//Technical and Occupational Products,,02,Technical and Occupational Products,16,Gilt solution (ชุบทอง),,,1,0,3
10058,Glass etching,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,17,Glass etching,,,1,0,3
10059,Hardener:Photographic,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,18,Hardener:Photographic,,,1,0,3
10060,Heavy metal,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,19,Heavy metal,,,1,0,3
10061,Ink,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,20,Ink,,,1,0,3
10062,Jewery cleaner,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,21,Jewery cleaner,,,1,0,3
10063,Lubricant oil (Exclude automotive),//Products//Technical and Occupational Products,,02,Technical and Occupational Products,22,Lubricant oil (Exclude automotive),,,1,0,3
10064,Paint,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,23,Paint,,,1,0,3
10065,Refrigerants,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,24,Refrigerants,,,1,0,3
10066,Ripen gas,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,25,Ripen gas,,,1,0,3
10067,Rust Preventive,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,26,Rust Preventive,,,1,0,3
10068,Rust Remover,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,27,Rust Remover,,,1,0,3
10069,Silver/Gold polishing agents/ Metal cleaner,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,28,Silver/Gold polishing agents/ Metal cleaner,,,1,0,3
10070,Solvent & thinner,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,29,Solvent & thinner,,,1,0,3
10071,Storage battery fluid,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,30,Storage battery fluid,,,1,0,3
10072,Technical & Industrial chemicals,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,31,Technical & Industrial chemicals,,,1,0,3
10073,Toxic gas,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,32,Toxic gas,,,1,0,3
10074,Other groups,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,33,Other groups,,,1,0,3
10075,Unknown chemicals,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,34,Unknown chemicals,,,1,0,3
10076,Cleaning agent for elevator (Lift),//Products//Technical and Occupational Products,,02,Technical and Occupational Products,35,Cleaning agent for elevator (Lift),,,1,0,3
10077,Ink: Solvent,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,36,Ink: Solvent,,,1,0,3
10078,Concrete: Waterproof Coating,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,37,Concrete: Waterproof Coating,,,1,0,3
11099,Cleaning agent for leather,//Products//Technical and Occupational Products,,02,Technical and Occupational Products,38,Cleaning agent for leather,,,1,0,3
10079,Amphetamine and derivatives,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,01,Amphetamine and derivatives,,,1,0,3
10080,Opiods,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,02,Opiods,,,1,0,3
10081,Psychoactive drugs,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,03,Psychoactive drugs,,,1,0,3
10082,Cocaine,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,04,Cocaine,,,1,0,3
10083,Aphrodisiac: spanish fly,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,05,Aphrodisiac: spanish fly,,,1,0,3
10084,Beverages,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,06,Beverages,,,1,0,3
10085,Inhalation of abuse,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,07,Inhalation of abuse,,,1,0,3
10086,Others,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,08,Others,,,1,0,3
10087,Unknown,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,09,Unknown,,,1,0,3
10088,Cigarette,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,10,Cigarette,,,1,0,3
10089,Cigarette: Others,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,11,Cigarette: Others,,,1,0,3
10090,GHB and related agents,//Products//Recreational and Abused Agents,,03,Recreational and Abused Agents,12,GHB and related agents,,,1,0,3
10091,Plant,//Products//Plant Toxins / Poisonous Plants,,04,Plant Toxins / Poisonous Plants,01,Plant,,,1,0,3
10092,Mushroom: Cyclopeptides,//Products//Plant Toxins / Poisonous Plants,,04,Plant Toxins / Poisonous Plants,02,Mushroom: Cyclopeptides,,,1,0,3
10093,Mushroom: Muscarine,//Products//Plant Toxins / Poisonous Plants,,04,Plant Toxins / Poisonous Plants,03,Mushroom: Muscarine,,,1,0,3
10094,Mushroom: Muscimol,//Products//Plant Toxins / Poisonous Plants,,04,Plant Toxins / Poisonous Plants,04,Mushroom: Muscimol,,,1,0,3
10095,Mushroom: Psilocybin,//Products//Plant Toxins / Poisonous Plants,,04,Plant Toxins / Poisonous Plants,05,Mushroom: Psilocybin,,,1,0,3
10096,Mushroom: GI toxin,//Products//Plant Toxins / Poisonous Plants,,04,Plant Toxins / Poisonous Plants,06,Mushroom: GI toxin,,,1,0,3
10097,Mushroom:Unknown,//Products//Plant Toxins / Poisonous Plants,,04,Plant Toxins / Poisonous Plants,07,Mushroom:Unknown,,,1,0,3
10098,Mushroom: Gyromitra,//Products//Plant Toxins / Poisonous Plants,,04,Plant Toxins / Poisonous Plants,08,Mushroom: Gyromitra,,,1,0,3
10099,Mushroom: Rhabdomyolysis,//Products//Plant Toxins / Poisonous Plants,,04,Plant Toxins / Poisonous Plants,09,Mushroom: Rhabdomyolysis,,,1,0,3
10100,Poisonous Snake: Neurotoxin,//Products//Poisonous and Venomous Animals,,05,Poisonous and Venomous Animals,01,Poisonous Snake: Neurotoxin,,,1,0,3
10101,Poisonous Snake: Hematotoxin,//Products//Poisonous and Venomous Animals,,05,Poisonous and Venomous Animals,02,Poisonous Snake: Hematotoxin,,,1,0,3
10102,Poisonous Snake: Myotoxin,//Products//Poisonous and Venomous Animals,,05,Poisonous and Venomous Animals,03,Poisonous Snake: Myotoxin,,,1,0,3
